,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca
13,Fev,1988,1988-02-01,0.0,0.0,421.0,511.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Mar,1988,1988-03-01,0.0,0.0,1159.0,2969.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Abr,1988,1988-04-01,0.0,0.0,1715.0,3703.0,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Mai,1988,1988-05-01,0.0,0.0,1493.0,2236.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Jun,1988,1988-06-01,0.0,0.0,1479.0,1358.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Jul,1988,1988-07-01,0.0,0.0,1535.0,878.0,-657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ago,1988,1988-08-01,0.0,0.0,1393.0,616.0,-777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Set,1988,1988-09-01,0.0,0.0,1269.0,432.0,-837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Out,1988,1988-10-01,0.0,0.0,1222.0,440.0,-782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Nov,1988,1988-11-01,0.0,0.0,1002.0,298.0,-704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Dez,1988,1988-12-01,0.0,0.0,612.0,224.0,-388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Jan,1989,1989-01-01,0.0,0.0,376.0,117.0,-259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Fev,1989,1989-02-01,0.0,0.0,355.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Mar,1989,1989-03-01,0.0,0.0,860.0,1708.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Abr,1989,1989-04-01,0.0,0.0,1628.0,4582.0,2954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Mai,1989,1989-05-01,0.0,0.0,1741.0,2420.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Jun,1989,1989-06-01,0.0,0.0,1442.0,832.0,-610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Jul,1989,1989-07-01,0.0,0.0,1751.0,1406.0,-345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Ago,1989,1989-08-01,0.0,0.0,1886.0,1535.0,-351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Set,1989,1989-09-01,0.0,0.0,1669.0,836.0,-833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Out,1989,1989-10-01,0.0,0.0,1666.0,1027.0,-639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Nov,1989,1989-11-01,0.0,0.0,1398.0,852.0,-546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dez,1989,1989-12-01,0.0,0.0,1113.0,662.0,-451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Jan,1990,1990-01-01,0.0,0.0,680.0,276.0,-404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Fev,1990,1990-02-01,0.0,0.0,599.0,548.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Mar,1990,1990-03-01,0.0,0.0,1051.0,2325.0,1274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Abr,1990,1990-04-01,0.0,0.0,1590.0,3099.0,1509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Mai,1990,1990-05-01,0.0,0.0,1620.0,2094.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Jun,1990,1990-06-01,0.0,0.0,1507.0,1386.0,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Jul,1990,1990-07-01,0.0,0.0,1692.0,1260.0,-432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Ago,1990,1990-08-01,0.0,0.0,1413.0,1171.0,-242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Set,1990,1990-09-01,0.0,0.0,1421.0,918.0,-503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Out,1990,1990-10-01,0.0,0.0,1308.0,574.0,-734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Nov,1990,1990-11-01,0.0,0.0,1305.0,808.0,-497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Dez,1990,1990-12-01,0.0,0.0,1056.0,604.0,-452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Jan,1991,1991-01-01,0.0,0.0,873.0,431.0,-442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Fev,1991,1991-02-01,0.0,0.0,658.0,646.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Mar,1991,1991-03-01,0.0,0.0,883.0,1799.0,916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Abr,1991,1991-04-01,0.0,0.0,1367.0,2683.0,1316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Mai,1991,1991-05-01,0.0,0.0,1769.0,2145.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Jun,1991,1991-06-01,0.0,0.0,1459.0,1357.0,-102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Jul,1991,1991-07-01,0.0,0.0,1240.0,1015.0,-225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Ago,1991,1991-08-01,0.0,0.0,1218.0,944.0,-274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Set,1991,1991-09-01,0.0,0.0,1061.0,697.0,-364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Out,1991,1991-10-01,0.0,0.0,1040.0,579.0,-461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Nov,1991,1991-11-01,0.0,0.0,959.0,541.0,-418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Dez,1991,1991-12-01,0.0,0.0,745.0,302.0,-443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Jan,1992,1992-01-01,0.0,0.0,658.0,328.0,-330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Fev,1992,1992-02-01,0.0,0.0,597.0,512.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Mar,1992,1992-03-01,0.0,0.0,1007.0,1958.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Abr,1992,1992-04-01,0.0,0.0,1722.0,3976.0,2254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Mai,1992,1992-05-01,0.0,0.0,1957.0,2423.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Jun,1992,1992-06-01,0.0,0.0,1752.0,1292.0,-460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Jul,1992,1992-07-01,0.0,0.0,1650.0,980.0,-670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Ago,1992,1992-08-01,0.0,0.0,1511.0,755.0,-756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
