,datetime,symbol,open,high,low,close,ano,mes
0,1990-12-30,USDBRL,0.0001,0.0001,0.0001,0.0001,1990,12
1,1991-01-06,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,1
2,1991-01-13,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,1
3,1991-01-20,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,1
4,1991-01-27,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,1
5,1991-02-03,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,2
6,1991-02-10,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,2
7,1991-02-17,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,2
8,1991-02-24,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,2
9,1991-03-03,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,3
10,1991-03-10,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,3
11,1991-03-17,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,3
12,1991-03-24,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,3
13,1991-03-31,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,3
14,1991-04-07,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,4
15,1991-04-14,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,4
16,1991-04-21,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,4
17,1991-04-28,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,4
18,1991-05-05,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,5
19,1991-05-12,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,5
20,1991-05-19,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,5
21,1991-05-26,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,5
22,1991-06-02,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,6
23,1991-06-09,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,6
24,1991-06-16,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,6
25,1991-06-23,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,6
26,1991-06-30,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,6
27,1991-07-07,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,7
28,1991-07-14,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,7
29,1991-07-21,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,7
30,1991-07-28,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,7
31,1991-08-04,USDBRL,0.0001,0.0001,0.0001,0.0001,1991,8
32,1991-08-11,USDBRL,0.0001,0.0002,0.0001,0.0002,1991,8
33,1991-08-18,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,8
34,1991-08-25,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,8
35,1991-09-01,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,9
36,1991-09-08,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,9
37,1991-09-15,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,9
38,1991-09-22,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,9
39,1991-09-29,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,9
40,1991-10-06,USDBRL,0.0002,0.0002,0.0002,0.0002,1991,10
41,1991-10-13,USDBRL,0.0002,0.0003,0.0002,0.0003,1991,10
42,1991-10-20,USDBRL,0.0003,0.0003,0.0002,0.0003,1991,10
43,1991-10-27,USDBRL,0.0003,0.0003,0.0003,0.0003,1991,10
44,1991-11-03,USDBRL,0.0003,0.0003,0.0003,0.0003,1991,11
45,1991-11-10,USDBRL,0.0003,0.0003,0.0003,0.0003,1991,11
46,1991-11-17,USDBRL,0.0003,0.0003,0.0003,0.0003,1991,11
47,1991-11-24,USDBRL,0.0003,0.0003,0.0003,0.0003,1991,11
48,1991-12-01,USDBRL,0.0003,0.0003,0.0003,0.0003,1991,12
49,1991-12-08,USDBRL,0.0003,0.0004,0.0003,0.0004,1991,12
50,1991-12-15,USDBRL,0.0004,0.0004,0.0003,0.0004,1991,12
51,1991-12-22,USDBRL,0.0004,0.0004,0.0004,0.0004,1991,12
52,1991-12-29,USDBRL,0.0004,0.0004,0.0004,0.0004,1991,12
53,1992-01-05,USDBRL,0.0004,0.0004,0.0004,0.0004,1992,1
54,1992-01-12,USDBRL,0.0004,0.0004,0.0004,0.0004,1992,1
55,1992-01-19,USDBRL,0.0004,0.0004,0.0004,0.0004,1992,1
56,1992-01-26,USDBRL,0.0004,0.0005,0.0004,0.0005,1992,1
57,1992-02-02,USDBRL,0.0005,0.0005,0.0005,0.0005,1992,2
58,1992-02-09,USDBRL,0.0005,0.0005,0.0005,0.0005,1992,2
59,1992-02-16,USDBRL,0.0005,0.0006,0.0005,0.0006,1992,2
60,1992-02-23,USDBRL,0.0006,0.0006,0.0006,0.0006,1992,2
61,1992-03-01,USDBRL,0.0006,0.0006,0.0006,0.0006,1992,3
62,1992-03-08,USDBRL,0.0006,0.0006,0.0006,0.0006,1992,3
63,1992-03-15,USDBRL,0.0006,0.0007,0.0006,0.0007,1992,3
